"","id","age","day","week","cond","base","y","weight_1","weight_2","weight_3"
"50",5,40,"Wednesday",10,"control",255,254,254,254,254
"51",6,37,"Monday",1,"control",247,257,257,257,257
"52",6,37,"Wednesday",2,"control",247,245,245,245,245
"53",6,37,"Monday",3,"control",247,241,241,241,241
"54",6,37,"Wednesday",4,"control",247,246,246,246,246
"55",6,37,"Monday",5,"control",247,248,248,248,248
"56",6,37,"Wednesday",6,"control",247,250,250,250,250
"57",6,37,"Monday",7,"control",247,249,249,249,249
"58",6,37,"Wednesday",8,"control",247,246,246,246,246
"59",6,37,"Monday",9,"control",247,247,247,247,247
"60",6,37,"Wednesday",10,"control",247,244,244,NA,244
"61",7,31,"Monday",1,"control",251,247,247,247,247
"62",7,31,"Wednesday",2,"control",251,251,251,251,251
"63",7,31,"Monday",3,"control",251,248,248,248,248
"64",7,31,"Wednesday",4,"control",251,254,254,254,254
"65",7,31,"Monday",5,"control",251,256,256,NA,256
"66",7,31,"Wednesday",6,"control",251,253,253,253,253
"67",7,31,"Monday",7,"control",251,254,254,254,254
"68",7,31,"Wednesday",8,"control",251,248,248,NA,248
"69",7,31,"Monday",9,"control",251,253,253,253,253
"70",7,31,"Wednesday",10,"control",251,255,255,255,255
"71",8,35,"Monday",1,"control",250,252,252,252,252
"72",8,35,"Wednesday",2,"control",250,251,251,251,251
"73",8,35,"Monday",3,"control",250,246,246,246,246
"74",8,35,"Wednesday",4,"control",250,247,247,247,247
"75",8,35,"Monday",5,"control",250,249,249,249,249
"76",8,35,"Wednesday",6,"control",250,251,251,251,251
"77",8,35,"Monday",7,"control",250,253,253,NA,253
"78",8,35,"Wednesday",8,"control",250,246,246,246,246
"79",8,35,"Monday",9,"control",250,251,251,251,251
"80",8,35,"Wednesday",10,"control",250,252,252,252,252
"81",9,40,"Monday",1,"control",225,220,220,220,220
"82",9,40,"Wednesday",2,"control",225,221,221,221,221
"83",9,40,"Monday",3,"control",225,227,227,227,227
"84",9,40,"Wednesday",4,"control",225,223,223,223,223
"85",9,40,"Monday",5,"control",225,227,227,227,227
"86",9,40,"Wednesday",6,"control",225,228,228,228,228
"87",9,40,"Monday",7,"control",225,224,224,224,224
"88",9,40,"Wednesday",8,"control",225,225,225,225,225
"89",9,40,"Monday",9,"control",225,225,225,225,225
"90",9,40,"Wednesday",10,"control",225,223,223,223,223
"91",10,35,"Monday",1,"control",255,254,254,254,254
"92",10,35,"Wednesday",2,"control",255,256,256,256,256
"93",10,35,"Monday",3,"control",255,254,254,254,254
"94",10,35,"Wednesday",4,"control",255,256,256,256,256
"95",10,35,"Monday",5,"control",255,253,253,NA,253
"96",10,35,"Wednesday",6,"control",255,254,254,254,254
"97",10,35,"Monday",7,"control",255,253,253,253,253
"98",10,35,"Wednesday",8,"control",255,257,257,257,257
"99",10,35,"Monday",9,"control",255,257,257,257,257
"100",10,35,"Wednesday",10,"control",255,260,260,260,260
"101",11,32,"Monday",1,"control",246,249,NA,249,249
"102",11,32,"Wednesday",2,"control",246,250,250,250,250
"103",11,32,"Monday",3,"control",246,247,NA,247,247
"104",11,32,"Wednesday",4,"control",246,242,242,242,242
"105",11,32,"Monday",5,"control",246,245,NA,245,245
"106",11,32,"Wednesday",6,"control",246,245,245,NA,245
"107",11,32,"Monday",7,"control",246,248,NA,248,248
"108",11,32,"Wednesday",8,"control",246,246,246,246,246
"109",11,32,"Monday",9,"control",246,248,NA,248,248
"110",11,32,"Wednesday",10,"control",246,245,245,245,245
"111",12,39,"Monday",1,"control",263,264,264,264,264
"112",12,39,"Wednesday",2,"control",263,265,265,265,265
"113",12,39,"Monday",3,"control",263,263,263,263,263
"114",12,39,"Wednesday",4,"control",263,262,262,262,262
"115",12,39,"Monday",5,"control",263,259,259,259,259
"116",12,39,"Wednesday",6,"control",263,265,265,265,265
"117",12,39,"Monday",7,"control",263,265,265,265,265
"118",12,39,"Wednesday",8,"control",263,263,263,263,263
"119",12,39,"Monday",9,"control",263,259,259,259,259
"120",12,39,"Wednesday",10,"control",263,260,260,260,260
"121",13,37,"Monday",1,"control",239,241,241,241,241
"122",13,37,"Wednesday",2,"control",239,237,237,237,237
"123",13,37,"Monday",3,"control",239,244,244,244,244
"124",13,37,"Wednesday",4,"control",239,235,235,235,235
"125",13,37,"Monday",5,"control",239,239,239,239,239
"126",13,37,"Wednesday",6,"control",239,238,238,238,238
"127",13,37,"Monday",7,"control",239,243,243,NA,243
"128",13,37,"Wednesday",8,"control",239,242,242,242,242
"129",13,37,"Monday",9,"control",239,235,235,235,235
"130",13,37,"Wednesday",10,"control",239,237,237,237,237
"131",14,39,"Monday",1,"control",248,250,250,250,250
"132",14,39,"Wednesday",2,"control",248,255,255,255,255
"133",14,39,"Monday",3,"control",248,243,243,243,243
"134",14,39,"Wednesday",4,"control",248,253,253,253,253
"135",14,39,"Monday",5,"control",248,243,243,243,243
"136",14,39,"Wednesday",6,"control",248,247,247,247,247
"137",14,39,"Monday",7,"control",248,247,247,NA,247
"138",14,39,"Wednesday",8,"control",248,244,244,244,244
"139",14,39,"Monday",9,"control",248,251,251,NA,251
"140",14,39,"Wednesday",10,"control",248,243,243,243,243
"141",15,40,"Monday",1,"control",257,260,260,260,260
"142",15,40,"Wednesday",2,"control",257,257,257,257,257
"143",15,40,"Monday",3,"control",257,252,252,252,252
"144",15,40,"Wednesday",4,"control",257,252,252,NA,252
"145",15,40,"Monday",5,"control",257,257,257,257,257
"146",15,40,"Wednesday",6,"control",257,256,256,256,256
"147",15,40,"Monday",7,"control",257,254,254,254,254
"148",15,40,"Wednesday",8,"control",257,252,252,252,252
"149",15,40,"Monday",9,"control",257,254,254,254,254
"150",15,40,"Wednesday",10,"control",257,259,259,259,259
"151",16,37,"Monday",1,"control",245,245,245,245,245
"152",16,37,"Wednesday",2,"control",245,242,242,242,242
"153",16,37,"Monday",3,"control",245,247,247,247,247
"154",16,37,"Wednesday",4,"control",245,240,240,240,240
"155",16,37,"Monday",5,"control",245,246,246,246,246
"156",16,37,"Wednesday",6,"control",245,243,243,243,243
"157",16,37,"Monday",7,"control",245,243,243,243,243
"158",16,37,"Wednesday",8,"control",245,246,246,246,246
"159",16,37,"Monday",9,"control",245,252,252,NA,252
"160",16,37,"Wednesday",10,"control",245,248,248,248,248
"161",17,31,"Monday",1,"control",233,233,233,233,233
"162",17,31,"Wednesday",2,"control",233,238,238,238,238
"163",17,31,"Monday",3,"control",233,233,233,233,233
"164",17,31,"Wednesday",4,"control",233,235,235,235,235
"165",17,31,"Monday",5,"control",233,234,234,234,234
"166",17,31,"Wednesday",6,"control",233,241,241,241,241
"167",17,31,"Monday",7,"control",233,229,229,229,229
"168",17,31,"Wednesday",8,"control",233,231,231,231,231
"169",17,31,"Monday",9,"control",233,233,233,233,233
"170",17,31,"Wednesday",10,"control",233,237,237,237,237
"171",18,35,"Monday",1,"control",253,252,252,252,252
"172",18,35,"Wednesday",2,"control",253,246,246,246,246
"173",18,35,"Monday",3,"control",253,255,255,NA,255
"174",18,35,"Wednesday",4,"control",253,256,256,256,256
"175",18,35,"Monday",5,"control",253,254,254,254,254
"176",18,35,"Wednesday",6,"control",253,249,249,249,249
"177",18,35,"Monday",7,"control",253,257,257,257,257
"178",18,35,"Wednesday",8,"control",253,252,252,252,252
"179",18,35,"Monday",9,"control",253,259,259,259,259
"180",18,35,"Wednesday",10,"control",253,249,249,249,249
"181",19,40,"Monday",1,"control",259,261,261,261,261
"182",19,40,"Wednesday",2,"control",259,255,255,255,255
"183",19,40,"Monday",3,"control",259,261,261,261,261
"184",19,40,"Wednesday",4,"control",259,258,258,258,258
"185",19,40,"Monday",5,"control",259,260,260,260,260
"186",19,40,"Wednesday",6,"control",259,257,257,257,257
"187",19,40,"Monday",7,"control",259,257,257,257,257
"188",19,40,"Wednesday",8,"control",259,258,258,NA,258
"189",19,40,"Monday",9,"control",259,254,254,254,254
"190",19,40,"Wednesday",10,"control",259,257,257,257,257
"191",20,35,"Monday",1,"control",242,240,240,240,240
"192",20,35,"Wednesday",2,"control",242,246,246,246,246
"193",20,35,"Monday",3,"control",242,242,242,242,242
"194",20,35,"Wednesday",4,"control",242,247,247,247,247
"195",20,35,"Monday",5,"control",242,240,240,240,240
"196",20,35,"Wednesday",6,"control",242,241,241,241,241
"197",20,35,"Monday",7,"control",242,241,241,241,241
"198",20,35,"Wednesday",8,"control",242,241,241,241,241
"199",20,35,"Monday",9,"control",242,241,241,241,241
"200",20,35,"Wednesday",10,"control",242,243,243,243,243
"201",21,32,"Monday",1,"control",250,251,NA,251,251
"202",21,32,"Wednesday",2,"control",250,254,254,254,254
"203",21,32,"Monday",3,"control",250,248,NA,248,248
"204",21,32,"Wednesday",4,"control",250,249,249,249,249
"205",21,32,"Monday",5,"control",250,251,NA,251,251
"206",21,32,"Wednesday",6,"control",250,245,245,245,245
"207",21,32,"Monday",7,"control",250,247,NA,247,247
"208",21,32,"Wednesday",8,"control",250,252,252,NA,252
"209",21,32,"Monday",9,"control",250,251,NA,251,251
"210",21,32,"Wednesday",10,"control",250,253,253,253,253
"211",22,39,"Monday",1,"control",236,242,242,242,242
"212",22,39,"Wednesday",2,"control",236,235,235,235,235
"213",22,39,"Monday",3,"control",236,239,239,239,239
"214",22,39,"Wednesday",4,"control",236,230,230,230,230
"215",22,39,"Monday",5,"control",236,232,232,232,232
"216",22,39,"Wednesday",6,"control",236,227,227,227,227
"217",22,39,"Monday",7,"control",236,238,238,238,238
"218",22,39,"Wednesday",8,"control",236,236,236,236,236
"219",22,39,"Monday",9,"control",236,237,237,237,237
"220",22,39,"Wednesday",10,"control",236,234,234,234,234
"221",23,37,"Monday",1,"control",243,240,240,240,240
"222",23,37,"Wednesday",2,"control",243,238,238,238,238
"223",23,37,"Monday",3,"control",243,244,244,244,244
"224",23,37,"Wednesday",4,"control",243,242,242,242,242
"225",23,37,"Monday",5,"control",243,242,242,242,242
"226",23,37,"Wednesday",6,"control",243,244,244,244,244
"227",23,37,"Monday",7,"control",243,240,240,240,240
"228",23,37,"Wednesday",8,"control",243,246,246,246,246
"229",23,37,"Monday",9,"control",243,243,243,243,243
"230",23,37,"Wednesday",10,"control",243,236,236,236,236
"231",24,39,"Monday",1,"control",244,244,244,244,244
"232",24,39,"Wednesday",2,"control",244,243,243,NA,243
"233",24,39,"Monday",3,"control",244,242,242,242,242
"234",24,39,"Wednesday",4,"control",244,247,247,247,247
"235",24,39,"Monday",5,"control",244,240,240,NA,240
"236",24,39,"Wednesday",6,"control",244,249,249,249,249
"237",24,39,"Monday",7,"control",244,245,245,245,245
"238",24,39,"Wednesday",8,"control",244,243,243,NA,243
"239",24,39,"Monday",9,"control",244,246,246,246,246
"240",24,39,"Wednesday",10,"control",244,240,240,240,240
"241",25,40,"Monday",1,"control",257,259,259,259,259
"242",25,40,"Wednesday",2,"control",257,252,252,252,252
"243",25,40,"Monday",3,"control",257,255,255,255,255
"244",25,40,"Wednesday",4,"control",257,257,257,257,257
"245",25,40,"Monday",5,"control",257,253,253,253,253
"246",25,40,"Wednesday",6,"control",257,258,258,258,258
"247",25,40,"Monday",7,"control",257,257,257,257,257
"248",25,40,"Wednesday",8,"control",257,260,260,260,260
"249",25,40,"Monday",9,"control",257,258,258,258,258
"250",25,40,"Wednesday",10,"control",257,257,257,257,257
"251",26,37,"Monday",1,"control",242,242,242,242,242
"252",26,37,"Wednesday",2,"control",242,243,243,243,243
"253",26,37,"Monday",3,"control",242,244,244,244,244
"254",26,37,"Wednesday",4,"control",242,241,241,241,241
"255",26,37,"Monday",5,"control",242,239,239,239,239
"256",26,37,"Wednesday",6,"control",242,240,240,NA,240
"257",26,37,"Monday",7,"control",242,242,242,242,242
"258",26,37,"Wednesday",8,"control",242,244,244,244,244
"259",26,37,"Monday",9,"control",242,249,249,249,249
"260",26,37,"Wednesday",10,"control",242,245,245,245,245
"261",27,31,"Monday",1,"control",240,244,244,NA,244
"262",27,31,"Wednesday",2,"control",240,234,234,234,234
"263",27,31,"Monday",3,"control",240,241,241,NA,241
"264",27,31,"Wednesday",4,"control",240,245,245,245,245
"265",27,31,"Monday",5,"control",240,238,238,238,238
"266",27,31,"Wednesday",6,"control",240,242,242,242,242
"267",27,31,"Monday",7,"control",240,243,243,243,243
"268",27,31,"Wednesday",8,"control",240,241,241,241,241
"269",27,31,"Monday",9,"control",240,235,235,235,235
"270",27,31,"Wednesday",10,"control",240,241,241,241,241
"271",28,35,"Monday",1,"control",266,263,263,263,263
"272",28,35,"Wednesday",2,"control",266,264,264,264,264
"273",28,35,"Monday",3,"control",266,265,265,265,265
"274",28,35,"Wednesday",4,"control",266,263,263,263,263
"275",28,35,"Monday",5,"control",266,266,266,266,NA
"276",28,35,"Wednesday",6,"control",266,271,271,271,NA
"277",28,35,"Monday",7,"control",266,263,263,263,263
"278",28,35,"Wednesday",8,"control",266,265,265,265,265
"279",28,35,"Monday",9,"control",266,265,265,265,265
"280",28,35,"Wednesday",10,"control",266,268,268,268,NA
"281",29,40,"Monday",1,"control",250,247,247,247,247
"282",29,40,"Wednesday",2,"control",250,252,252,252,252
"283",29,40,"Monday",3,"control",250,252,252,252,252
"284",29,40,"Wednesday",4,"control",250,248,248,248,248
"285",29,40,"Monday",5,"control",250,251,251,251,251
"286",29,40,"Wednesday",6,"control",250,249,249,249,249
"287",29,40,"Monday",7,"control",250,247,247,247,247
"288",29,40,"Wednesday",8,"control",250,254,254,254,254
"289",29,40,"Monday",9,"control",250,247,247,247,247
"290",29,40,"Wednesday",10,"control",250,249,249,249,249
"291",30,35,"Monday",1,"control",246,248,248,248,248
"292",30,35,"Wednesday",2,"control",246,246,246,246,246
"293",30,35,"Monday",3,"control",246,247,247,247,247
"294",30,35,"Wednesday",4,"control",246,243,243,243,243
"295",30,35,"Monday",5,"control",246,247,247,247,247
"296",30,35,"Wednesday",6,"control",246,244,244,244,244
"297",30,35,"Monday",7,"control",246,247,247,247,247
"298",30,35,"Wednesday",8,"control",246,247,247,247,247
"299",30,35,"Monday",9,"control",246,244,244,NA,244
"300",30,35,"Wednesday",10,"control",246,246,246,246,246
"301",31,32,"Monday",1,"control",253,252,NA,252,252
"302",31,32,"Wednesday",2,"control",253,251,251,251,251
"303",31,32,"Monday",3,"control",253,248,NA,248,248
"304",31,32,"Wednesday",4,"control",253,250,250,250,250
"305",31,32,"Monday",5,"control",253,253,NA,253,253
"306",31,32,"Wednesday",6,"control",253,251,251,251,251
"307",31,32,"Monday",7,"control",253,257,NA,257,257
"308",31,32,"Wednesday",8,"control",253,250,250,250,250
"309",31,32,"Monday",9,"control",253,251,NA,251,251
"310",31,32,"Wednesday",10,"control",253,255,255,255,255
"311",32,39,"Monday",1,"control",254,260,260,260,260
"312",32,39,"Wednesday",2,"control",254,256,256,256,256
"313",32,39,"Monday",3,"control",254,254,254,254,254
"314",32,39,"Wednesday",4,"control",254,256,256,256,256
"315",32,39,"Monday",5,"control",254,252,252,252,252
"316",32,39,"Wednesday",6,"control",254,254,254,254,254
"317",32,39,"Monday",7,"control",254,252,252,252,252
"318",32,39,"Wednesday",8,"control",254,249,249,249,249
"319",32,39,"Monday",9,"control",254,255,255,255,255
"320",32,39,"Wednesday",10,"control",254,255,255,255,255
"321",33,37,"Monday",1,"control",240,242,242,242,242
"322",33,37,"Wednesday",2,"control",240,239,239,239,239
"323",33,37,"Monday",3,"control",240,240,240,240,240
"324",33,37,"Wednesday",4,"control",240,240,240,240,240
"325",33,37,"Monday",5,"control",240,240,240,240,240
"326",33,37,"Wednesday",6,"control",240,242,242,242,242
"327",33,37,"Monday",7,"control",240,240,240,240,240
"328",33,37,"Wednesday",8,"control",240,239,239,239,239
"329",33,37,"Monday",9,"control",240,242,242,242,242
"330",33,37,"Wednesday",10,"control",240,243,243,243,243
"331",34,39,"Monday",1,"control",250,246,246,246,246
"332",34,39,"Wednesday",2,"control",250,250,250,250,250
"333",34,39,"Monday",3,"control",250,247,247,247,247
"334",34,39,"Wednesday",4,"control",250,250,250,250,250
"335",34,39,"Monday",5,"control",250,255,255,255,255
"336",34,39,"Wednesday",6,"control",250,254,254,254,254
"337",34,39,"Monday",7,"control",250,251,251,251,251
"338",34,39,"Wednesday",8,"control",250,249,249,249,249
"339",34,39,"Monday",9,"control",250,248,248,248,248
"340",34,39,"Wednesday",10,"control",250,251,251,251,251
"341",35,40,"Monday",1,"control",229,230,230,230,230
"342",35,40,"Wednesday",2,"control",229,230,230,230,230
"343",35,40,"Monday",3,"control",229,230,230,230,230
"344",35,40,"Wednesday",4,"control",229,226,226,226,226
"345",35,40,"Monday",5,"control",229,233,233,233,233
"346",35,40,"Wednesday",6,"control",229,229,229,229,229
"347",35,40,"Monday",7,"control",229,229,229,229,229
"348",35,40,"Wednesday",8,"control",229,234,234,234,234
"349",35,40,"Monday",9,"control",229,225,225,225,225
"350",35,40,"Wednesday",10,"control",229,226,226,226,226
"351",36,37,"Monday",1,"control",245,247,247,247,247
"352",36,37,"Wednesday",2,"control",245,249,249,249,249
"353",36,37,"Monday",3,"control",245,240,240,240,240
"354",36,37,"Wednesday",4,"control",245,241,241,NA,241
"355",36,37,"Monday",5,"control",245,244,244,244,244
"356",36,37,"Wednesday",6,"control",245,248,248,248,248
"357",36,37,"Monday",7,"control",245,252,252,252,252
"358",36,37,"Wednesday",8,"control",245,249,249,249,249
"359",36,37,"Monday",9,"control",245,245,245,245,245
"360",36,37,"Wednesday",10,"control",245,242,242,242,242
"361",37,31,"Monday",1,"control",250,252,252,252,252
"362",37,31,"Wednesday",2,"control",250,250,250,250,250
"363",37,31,"Monday",3,"control",250,256,256,256,256
"364",37,31,"Wednesday",4,"control",250,249,249,249,249
"365",37,31,"Monday",5,"control",250,250,250,250,250
"366",37,31,"Wednesday",6,"control",250,249,249,NA,249
"367",37,31,"Monday",7,"control",250,251,251,251,251
"368",37,31,"Wednesday",8,"control",250,255,255,255,255
"369",37,31,"Monday",9,"control",250,252,252,252,252
"370",37,31,"Wednesday",10,"control",250,249,249,NA,249
"371",38,35,"Monday",1,"control",235,238,238,238,238
"372",38,35,"Wednesday",2,"control",235,230,230,230,230
"373",38,35,"Monday",3,"control",235,232,232,232,232
"374",38,35,"Wednesday",4,"control",235,233,233,233,233
"375",38,35,"Monday",5,"control",235,232,232,232,232
"376",38,35,"Wednesday",6,"control",235,236,236,236,236
"377",38,35,"Monday",7,"control",235,239,239,239,239
"378",38,35,"Wednesday",8,"control",235,236,236,236,236
"379",38,35,"Monday",9,"control",235,230,230,230,230
"380",38,35,"Wednesday",10,"control",235,229,229,229,229
"381",39,40,"Monday",1,"control",259,253,253,253,253
"382",39,40,"Wednesday",2,"control",259,261,261,261,261
"383",39,40,"Monday",3,"control",259,253,253,253,253
"384",39,40,"Wednesday",4,"control",259,255,255,255,255
"385",39,40,"Monday",5,"control",259,259,259,259,259
"386",39,40,"Wednesday",6,"control",259,258,258,258,258
"387",39,40,"Monday",7,"control",259,258,258,258,258
"388",39,40,"Wednesday",8,"control",259,261,261,261,261
"389",39,40,"Monday",9,"control",259,257,257,257,257
"390",39,40,"Wednesday",10,"control",259,256,256,256,256
"391",40,35,"Monday",1,"control",253,256,256,256,256
"392",40,35,"Wednesday",2,"control",253,256,256,256,256
"393",40,35,"Monday",3,"control",253,251,251,251,251
"394",40,35,"Wednesday",4,"control",253,255,255,255,255
"395",40,35,"Monday",5,"control",253,253,253,253,253
"396",40,35,"Wednesday",6,"control",253,251,251,251,251
"397",40,35,"Monday",7,"control",253,257,257,257,257
"398",40,35,"Wednesday",8,"control",253,251,251,251,251
"399",40,35,"Monday",9,"control",253,254,254,254,254
"400",40,35,"Wednesday",10,"control",253,256,256,256,256
"401",41,32,"Monday",1,"control",250,247,NA,247,247
"402",41,32,"Wednesday",2,"control",250,251,251,NA,251
"403",41,32,"Monday",3,"control",250,251,NA,251,251
"404",41,32,"Wednesday",4,"control",250,250,250,250,250
"405",41,32,"Monday",5,"control",250,254,NA,254,254
"406",41,32,"Wednesday",6,"control",250,245,245,NA,245
"407",41,32,"Monday",7,"control",250,248,NA,248,248
"408",41,32,"Wednesday",8,"control",250,249,249,NA,249
"409",41,32,"Monday",9,"control",250,243,NA,243,243
"410",41,32,"Wednesday",10,"control",250,251,251,251,251
"411",42,39,"Monday",1,"control",257,256,256,256,256
"412",42,39,"Wednesday",2,"control",257,253,253,253,253
"413",42,39,"Monday",3,"control",257,255,255,255,255
"414",42,39,"Wednesday",4,"control",257,257,257,257,257
"415",42,39,"Monday",5,"control",257,263,263,263,263
"416",42,39,"Wednesday",6,"control",257,255,255,255,255
"417",42,39,"Monday",7,"control",257,256,256,256,256
"418",42,39,"Wednesday",8,"control",257,255,255,NA,255
"419",42,39,"Monday",9,"control",257,256,256,256,256
"420",42,39,"Wednesday",10,"control",257,263,263,263,263
"421",43,37,"Monday",1,"control",247,246,246,246,246
"422",43,37,"Wednesday",2,"control",247,250,250,250,250
"423",43,37,"Monday",3,"control",247,251,251,251,251
"424",43,37,"Wednesday",4,"control",247,249,249,249,249
"425",43,37,"Monday",5,"control",247,249,249,249,249
"426",43,37,"Wednesday",6,"control",247,249,249,NA,249
"427",43,37,"Monday",7,"control",247,248,248,248,248
"428",43,37,"Wednesday",8,"control",247,251,251,251,251
"429",43,37,"Monday",9,"control",247,250,250,250,250
"430",43,37,"Wednesday",10,"control",247,248,248,248,248
"431",44,39,"Monday",1,"control",253,250,250,250,250
"432",44,39,"Wednesday",2,"control",253,247,247,247,247
"433",44,39,"Monday",3,"control",253,248,248,248,248
"434",44,39,"Wednesday",4,"control",253,256,256,256,256
"435",44,39,"Monday",5,"control",253,253,253,253,253
"436",44,39,"Wednesday",6,"control",253,261,261,261,261
"437",44,39,"Monday",7,"control",253,258,258,258,258
"438",44,39,"Wednesday",8,"control",253,256,256,256,256
"439",44,39,"Monday",9,"control",253,255,255,255,255
"440",44,39,"Wednesday",10,"control",253,254,254,254,254
"441",45,40,"Monday",1,"control",253,254,254,254,254
"442",45,40,"Wednesday",2,"control",253,254,254,254,254
"443",45,40,"Monday",3,"control",253,248,248,248,248
"444",45,40,"Wednesday",4,"control",253,250,250,250,250
"445",45,40,"Monday",5,"control",253,250,250,250,250
"446",45,40,"Wednesday",6,"control",253,255,255,255,255
"447",45,40,"Monday",7,"control",253,256,256,NA,256
"448",45,40,"Wednesday",8,"control",253,250,250,250,250
"449",45,40,"Monday",9,"control",253,255,255,255,255
"450",45,40,"Wednesday",10,"control",253,251,251,251,251
"451",46,37,"Monday",1,"control",263,264,264,264,264
"452",46,37,"Wednesday",2,"control",263,260,260,260,260
"453",46,37,"Monday",3,"control",263,265,265,265,265
"454",46,37,"Wednesday",4,"control",263,264,264,264,264
"455",46,37,"Monday",5,"control",263,261,261,261,261
"456",46,37,"Wednesday",6,"control",263,260,260,260,260
"457",46,37,"Monday",7,"control",263,265,265,265,265
"458",46,37,"Wednesday",8,"control",263,261,261,261,261
"459",46,37,"Monday",9,"control",263,263,263,263,263
"460",46,37,"Wednesday",10,"control",263,264,264,264,264
"461",47,31,"Monday",1,"control",261,262,262,262,262
"462",47,31,"Wednesday",2,"control",261,258,258,258,258
"463",47,31,"Monday",3,"control",261,263,263,263,263
"464",47,31,"Wednesday",4,"control",261,256,256,256,256
"465",47,31,"Monday",5,"control",261,259,259,259,259
"466",47,31,"Wednesday",6,"control",261,263,263,263,263
"467",47,31,"Monday",7,"control",261,259,259,259,259
"468",47,31,"Wednesday",8,"control",261,267,267,267,NA
"469",47,31,"Monday",9,"control",261,263,263,263,263
"470",47,31,"Wednesday",10,"control",261,258,258,258,258
"471",48,35,"Monday",1,"control",242,239,239,239,239
"472",48,35,"Wednesday",2,"control",242,244,244,244,244
"473",48,35,"Monday",3,"control",242,246,246,246,246
"474",48,35,"Wednesday",4,"control",242,244,244,244,244
"475",48,35,"Monday",5,"control",242,242,242,242,242
"476",48,35,"Wednesday",6,"control",242,244,244,244,244
"477",48,35,"Monday",7,"control",242,241,241,241,241
"478",48,35,"Wednesday",8,"control",242,241,241,241,241
"479",48,35,"Monday",9,"control",242,243,243,243,243
"480",48,35,"Wednesday",10,"control",242,239,239,239,239
"481",49,40,"Monday",1,"control",247,249,249,249,249
"482",49,40,"Wednesday",2,"control",247,245,245,245,245
"483",49,40,"Monday",3,"control",247,243,243,NA,243
"484",49,40,"Wednesday",4,"control",247,244,244,244,244
"485",49,40,"Monday",5,"control",247,243,243,243,243
"486",49,40,"Wednesday",6,"control",247,241,241,241,241
"487",49,40,"Monday",7,"control",247,250,250,250,250
"488",49,40,"Wednesday",8,"control",247,248,248,248,248
"489",49,40,"Monday",9,"control",247,247,247,247,247
"490",49,40,"Wednesday",10,"control",247,248,248,248,248
"491",50,35,"Monday",1,"control",247,255,255,255,255
"492",50,35,"Wednesday",2,"control",247,251,251,251,251
"493",50,35,"Monday",3,"control",247,243,243,243,243
"494",50,35,"Wednesday",4,"control",247,250,250,250,250
"495",50,35,"Monday",5,"control",247,249,249,249,249
